parent_process_md5,parent_process_sha1,parent_process_sha256,parent_process_creation_date,process_id,agentid,elastic_id,usernames_id,agent_id,event_type,year,month,day,hour,parent_executablepath,executable_path,computername,parent_process_owner,process_owner,process_domain,parent_process_name,process_name,tenant_id,command_line,parent_command_line
,,,,"{""int"": 12536, ""string"": null}",6e0a9199ba1a8e3cb1413974c032f86d,jCFzf3wBxoofP3v-2tBY,,,user_process_execs,2021,10,14,15,c:\dir_a_j\dir_b_a\dir_c_b\dir_d_j4.0.30319\executable_185,c:\dir_a_j\dir_b_a\dir_c_b\dir_d_j4.0.30319\executable_161,test_7aec2f01-586e-3d53-b8f3-6cf7e6b649a4_name_18,name_502,name_502,name_640,executable_185,executable_161,tenant_c,,
,,,,"{""int"": 6820, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,UsargHwBdqP6iFOW32-p,,,user_process_execs,2021,10,14,21,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_185,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_161,test_f525e31a-634c-3d2f-9447-999cf6b5b6a0_name_67,name_530,name_530,name_640,executable_185,executable_161,tenant_c,"c:\windows\microsoft.net\framework64\v4.0.30319\mscorsvw.exe -startupevent 4b8 -interruptevent 0 -ngenprocess 3e8 -pipe 480 -comment ""ngen worker process""",
,,,,"{""int"": 17584, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,3vYrgHwBRALE72vTalG4,,,user_process_execs,2021,10,14,18,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_c\dir_b_h\dir_c_aa\dir_d_e\executable_206,name_12,name_455,name_455,name_640,executable_163,executable_206,tenant_c,"""c:\program files\common files\microsoft shared\clicktorun\officesvcmgr.exe"" /checkin",
,,,,"{""int"": 1948, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,Sh4IeXwBXiyPKgRr7_hy,,,user_process_execs,2021,10,13,9,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_185,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_161,test_7ca4ef3a-1990-3308-a0ca-1a96770b00ba_name_100,name_603,name_603,name_640,executable_185,executable_161,tenant_c,"c:\windows\microsoft.net\framework64\v4.0.30319\mscorsvw.exe -startupevent 9dc -interruptevent 0 -ngenprocess 900 -pipe a14 -comment ""ngen worker process""",
,,,,"{""int"": 24612, ""string"": null}",32615bbe42c0ae71b1b9e63a0d7008e1,BRDefHwBjd7GdOiou7pe,,,user_process_execs,2021,10,14,3,c:\dir_a_c\dir_b_eb\dir_c_ba\executable_56,c:\dir_a_j\dir_b_j32\executable_171,name_650,name_441,name_441,name_640,executable_56,executable_171,tenant_c,"c:\windows\system32\cmd.exe /s /c """"sc""  query ""savservice"" > ""c:\windows\system32\config\systemprofile\appdata\local\temp\opsbe11.tmp"" 2> ""c:\windows\system32\config\systemprofile\appdata\local\temp\opsbe12.tmp""""",
,,,,"{""int"": null, ""string"": ""9452""}",c5021203e048fc1b1d4955a9f158711f,sjwHgXwBB0gvw5rf5_ej,89.0,,user_process_execs,2021,10,14,22,,c:\dir_a_b\dir_b_ab\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,name_4,,name_445,name_641,asdf_0x195ab829c_executable_5,executable_160,tenant_c,"""C:\Users\mdurr\AppData\Local\Microsoft\Teams\current\Teams.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1728,17248813331863299485,13884184915451594358,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-US --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path=""C:\Users\mdurr\AppData\Local\Microsoft\Teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=371 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5584 /prefetch:1",
,,,,"{""int"": 17904, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,w7i9f3wBLwEQS1RKqUWc,,,user_process_execs,2021,10,14,16,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_185,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_161,name_54,name_558,name_558,name_640,executable_185,executable_161,tenant_c,"c:\windows\microsoft.net\framework64\v4.0.30319\mscorsvw.exe -startupevent 288 -interruptevent 0 -ngenprocess 2b4 -pipe 270 -comment ""ngen worker process""",
,,,,"{""int"": 36448, ""string"": null}",7426ae4b4e07ecfb5ed97b2ed5bd4c4a,at6henwBEhvPAxw3-D6d,,,user_process_execs,2021,10,13,17,c:\dir_a_c\dir_b_fc\dir_c_bg\dir_d_ag\dir_e_aj\6dir_f_b0.7240.285\executable_71,c:\dir_a_c\dir_b_fc\dir_c_bg\dir_d_ag\dir_e_aj\6dir_f_b0.7240.285\executable_301,name_9,name_461,name_461,name_640,executable_71,executable_301,tenant_c,"""c:/program files/dell/supportassistagent/pcdr/supportassist/6.0.7240.285/systemidlecheck.exe"" ",
,,,,"{""int"": 6888, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,PfswfnwBDac3IFZAlIzM,,,user_process_execs,2021,10,14,9,c:\dir_a_a86)\dir_b_c\dir_c_c\dir_d_b\executable_353,c:\dir_a_a86)\dir_b_ff\executable_167,name_88,name_586,name_586,name_640,executable_353,executable_167,tenant_c,,
,,,,"{""int"": 14044, ""string"": null}",74aef8276914ae0aeda0c33fb15f859c,CwOaeXwB1R6ZJf4-e8ll,,,user_process_execs,2021,10,13,12,c:\dir_a_j\dir_b_j32\executable_171,c:\dir_a_j\dir_b_j32\executable_178,name_2,name_442,name_442,name_643,executable_171,executable_178,tenant_e,"find  /v ""running""  ",
,,,,"{""int"": 18288, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,wJLZf3wBACIhUi-k8D4O,1258.0,,user_process_execs,2021,10,14,17,c:\dir_a_a86)\dir_b_b\dir_c_a\dir_d_a\executable_166,c:\dir_a_a86)\dir_b_b\dir_c_a\dir_d_a\94dir_e_d0.992.47\executable_175,name_54,name_572,name_572,name_640,executable_166,executable_175,tenant_c,"""c:\program files (x86)\microsoft\edge\application\94.0.992.47\identity_helper.exe"" --type=utility --utility-sub-type=winrt_app_id.mojom.winrtappidservice --field-trial-handle=1980,5036525661565093723,13410925207799383075,131072 --lang=en-us --service-sandbox-type=none --mojo-platform-channel-handle=4736 /prefetch:8",
,,,,"{""int"": 10220, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,F2wjgHwBDac3IFZAGC3W,1258.0,,user_process_execs,2021,10,14,18,c:\dir_a_j\dir_b_j32\executable_398,c:\dir_a_j\dir_b_j32\executable_163,name_54,name_558,name_572,name_640,executable_398,executable_163,tenant_c,c:\windows\system32\svchost.exe -k printworkflow -s printworkflowusersvc,
,,,,"{""int"": 10536, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,wfoufnwBDac3IFZAVUZj,,,user_process_execs,2021,10,14,9,c:\dir_a_j\dir_b_j32\executable_398,c:\dir_a_j\dir_b_j32\executable_163,name_63,name_528,name_528,name_640,executable_398,executable_163,tenant_c,c:\windows\system32\svchost.exe -k networkservice -p -s dosvc,
,,,,"{""int"": 12292, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,0eYmenwBNBIFWOYHAkdS,1252.0,,user_process_execs,2021,10,13,14,c:\dir_a_a86)\dir_b_b\dir_c_a\dir_d_a\executable_166,c:\dir_a_a86)\dir_b_b\dir_c_a\dir_d_a\executable_166,name_24,name_559,name_559,name_640,executable_166,executable_166,tenant_c,"""c:\program files (x86)\microsoft\edge\application\msedge.exe"" --type=utility --utility-sub-type=video_capture.mojom.videocaptureservice --field-trial-handle=2056,5723614997026570179,6480206427169190638,131072 --lang=en-us --service-sandbox-type=video_capture --mojo-platform-channel-handle=4596 /prefetch:8",
,,,,"{""int"": 2972, ""string"": null}",171e1e972f703b7cd3721c19de438886,DQfSenwBEhvPAxw3TThR,,,user_process_execs,2021,10,13,17,c:\dir_a_j\dir_b_j32\executable_171,c:\dir_a_j\dir_b_j32\executable_186,asdf_0x131acde8918c_name_1,name_443,name_443,name_643,executable_171,executable_186,tenant_e,"sc  queryex ""pc monitor"" ",
,,,,"{""int"": null, ""string"": ""155384""}",f87be2d33e3d31383b4fa57885b5bc28,P2YJfnwBRALE72vTlm0F,26.0,,user_process_execs,2021,10,14,8,,c:\dir_a_c\dir_b_ig\dir_c_ef8600\dir_d_ae\executable_190,test_9bdf2544-31d8-3555-94b0-6a749118a996_name_45,,name_451,name_641,executable_21,executable_190,tenant_c,"""C:\Program Files\HP\HP Officejet Pro 8600\Bin\HPNetworkCommunicator.exe""",
,,,,"{""int"": null, ""string"": ""17184""}",68b34ea1b9ca09d69686d0e5a708857b,-VnQd3wBUVIklYwE1yfx,152.0,,user_process_execs,2021,10,13,3,,c:\dir_a_b\dir_b_bb\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,name_43,,name_462,name_641,asdf_0x195ab829c_executable_5,executable_160,tenant_c,"""C:\Users\JRaymer\AppData\Local\Microsoft\Teams\current\Teams.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1676,7386005044106770751,8693024444979482459,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-US --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path=""C:\Users\JRaymer\AppData\Local\Microsoft\Teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=281 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=4760 /prefetch:1",
,,,,"{""int"": 18460, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,dhjRgHwBB0gvw5rfHiWb,49.0,,user_process_execs,2021,10,14,21,c:\dir_a_a86)\dir_b_d\dir_c_d\dir_d_a\executable_168,c:\dir_a_b\dir_b_i\dir_c_i\dir_d_d\dir_e_ah\dir_f_g\dir_g_b\dir_h_j\93dir_i_j269.200\executable_258,name_8,name_449,name_449,name_640,executable_168,executable_258,tenant_c,,
,,,,"{""int"": 16936, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,gABhf3wB1R6ZJf4-0mNy,1242.0,,user_process_execs,2021,10,14,15,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_170,name_51,name_525,name_548,name_640,executable_163,executable_170,tenant_c,taskhostw.exe keyroaming,
,,,,"{""int"": 4996, ""string"": null}",6c2a5399d1cf8df22ec5c2b9bf743e35,4_pPf3wB0-fRXDnoflfV,,,user_process_execs,2021,10,14,14,asdf_0x197ab829c_executable_7,c:\dir_a_a86)\dir_b_ajj\dir_c_eg\dir_d_cc\dir_e_cf\executable_207,name_79,name_546,name_546,name_640,asdf_0x197ab829c_executable_7,executable_207,tenant_c,"""c:/program files (x86)/xima software/chronicall/postgres/bin/postgres.exe"" ""--forkavworker"" ""5028""",
,,,,"{""int"": 12292, ""string"": null}",aa0b7a6f95f3961b4fc33a39f30f8b28,4poOeHwBNBIFWOYHz0SW,,,user_process_execs,2021,10,13,5,c:\dir_a_j\dir_b_a\dir_c_b\dir_d_j4.0.30319\executable_185,c:\dir_a_j\dir_b_a\dir_c_b\dir_d_j4.0.30319\executable_161,name_15,name_515,name_515,name_640,executable_185,executable_161,tenant_c,"c:\windows\microsoft.net\framework\v4.0.30319\mscorsvw.exe -startupevent 4fc -interruptevent 0 -ngenprocess 51c -pipe 4d0 -comment ""ngen worker process""",
,,,,"{""int"": 5672, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,QdwhfnwBdqP6iFOWF8g3,,,user_process_execs,2021,10,14,9,c:\dir_a_a86)\dir_b_c\dir_c_c\dir_d_b\executable_353,c:\dir_a_a86)\dir_b_ff\executable_167,name_74,name_511,name_511,name_640,executable_353,executable_167,tenant_c,"""c:\program files (x86)\hitmanpro.alert\hmpalert.exe"" /status",
,,,,"{""int"": 14368, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,IXeefHwBACIhUi-kKK02,,,user_process_execs,2021,10,14,2,c:\dir_a_j\dir_b_j32\executable_398,c:\dir_a_j\dir_b_if\executable_176,name_73,name_561,name_561,name_640,executable_398,executable_176,tenant_c,c:\windows\servicing\trustedinstaller.exe,
,,,,"{""int"": 16416, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,qNVqgHwBV1WtlBxDyaLW,,,user_process_execs,2021,10,14,19,c:\dir_a_j\dir_b_j32\executable_398,c:\dir_a_j\dir_b_j32\executable_163,name_27,name_492,name_492,name_640,executable_398,executable_163,tenant_c,c:\windows\system32\svchost.exe -k wsappx -p -s clipsvc,
,,,,"{""int"": 17668, ""string"": null}",b0d19e7029b5c1529a257fd8f2c7573e,KkCsfXwBNpbLFxe_CVIy,80.0,,user_process_execs,2021,10,14,7,c:\dir_a_b\dir_b_ah\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,c:\dir_a_b\dir_b_ah\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,name_11,name_453,name_453,name_640,executable_160,executable_160,tenant_c,,
,,,,"{""int"": 4264, ""string"": null}",0a007dcecf64daa4025e2854b44cfb14,k13VenwBUVIklYwEsb1x,150.0,,user_process_execs,2021,10,13,17,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_169,name_112,name_627,name_606,name_640,executable_163,executable_169,tenant_c,,
,,,,"{""int"": 6860, ""string"": null}",68b34ea1b9ca09d69686d0e5a708857b,DkrDfHwBB0gvw5rfHg2L,152.0,,user_process_execs,2021,10,14,3,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_165,name_43,name_574,name_462,name_640,executable_163,executable_165,tenant_c,,
,,,,"{""int"": 18016, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,f9fse3wBV1WtlBxD7Z39,,,user_process_execs,2021,10,13,23,c:\dir_a_j\dir_b_j32\executable_398,c:\dir_a_j\dir_b_j32\executable_163,name_7,name_456,name_456,name_640,executable_398,executable_163,tenant_c,,
,,,,"{""int"": 7792, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,fIdafHwBLwEQS1RKXuaB,88.0,,user_process_execs,2021,10,14,1,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_169,name_16,name_454,name_518,name_640,executable_163,executable_169,tenant_c,c:\windows\system32\runtimebroker.exe -embedding,
,,,,"{""int"": 16148, ""string"": null}",d21ccb047b8d3d72c695101918096f9d,sP0He3wBDac3IFZABMkO,79.0,,user_process_execs,2021,10,13,18,c:\dir_a_a86)\dir_b_b\dir_c_a\dir_d_a\executable_166,c:\dir_a_a86)\dir_b_b\dir_c_a\dir_d_a\94dir_e_ce0.992.38\executable_175,name_5,name_448,name_448,name_640,executable_166,executable_175,tenant_c,,
,,,,"{""int"": 24056, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,fA_meXwBDac3IFZAjfGU,44.0,,user_process_execs,2021,10,13,13,c:\dir_a_c\dir_b_fh\dir_c_bh\executable_249,c:\dir_a_a86)\dir_b_fh\dir_c_bh\executable_249,name_10,name_483,name_483,name_640,executable_249,executable_249,tenant_c,"""c:\program files (x86)\digitalpersona\bin\dpagent.exe""",
,,,,"{""int"": 17268, ""string"": null}",6e0a9199ba1a8e3cb1413974c032f86d,8WRsenwBdqP6iFOW84Mw,113.0,,user_process_execs,2021,10,13,16,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_165,test_7aec2f01-586e-3d53-b8f3-6cf7e6b649a4_name_18,name_502,name_459,name_640,executable_163,executable_165,tenant_c,,
,,,,"{""int"": 14904, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,FdFde3wBNpbLFxe_AnEe,1287.0,,user_process_execs,2021,10,13,20,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_165,name_55,name_547,name_566,name_640,executable_163,executable_165,tenant_c,"""c:\windows\system32\backgroundtaskhost.exe"" -servername:backgroundtaskhost.webaccountprovider",
,,,,"{""int"": null, ""string"": """"}",899f87f46697643076b49459807ddbb7,55Ije3wBRALE72vTLGcq,126.0,,user_process_execs,2021,10,13,19,,,name_105,,,,,,tenant_e,,
,,,,"{""int"": null, ""string"": """"}",920169bb2e519b3bf5314d494381f570,rD6JfHwB0-fRXDnoiq7A,131.0,,user_process_execs,2021,10,14,1,,,name_190,,,,,,tenant_e,,
,,,,"{""int"": 13888, ""string"": null}",f78ea8b7cf43a0811ffdf7389527eb32,e--9eXwBDac3IFZAsnxE,77.0,,user_process_execs,2021,10,13,12,c:\dir_a_b\dir_b_aj\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,c:\dir_a_b\dir_b_aj\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,name_6,name_447,name_447,name_640,executable_160,executable_160,tenant_c,,
,,,,"{""int"": 4280, ""string"": null}",6fdfc785d72799667f54887abbb48219,spsjf3wBDac3IFZAW9Dp,848.0,,user_process_execs,2021,10,14,14,c:\dir_a_j\dir_b_j32\executable_171,c:\dir_a_j\dir_b_j32\executable_426,test_12fc65c4-ef8f-3388-a198-1d3053f11a10_name_69,name_569,name_569,name_640,executable_171,executable_426,tenant_c,,
,,,,"{""int"": 12788, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,c5aWfHwBUVIklYwERuaT,,,user_process_execs,2021,10,14,2,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_181,name_47,name_479,name_479,name_640,executable_163,executable_181,tenant_c,gpupdate.exe /target:computer,
,,,,"{""int"": 12664, ""string"": null}",32615bbe42c0ae71b1b9e63a0d7008e1,0LQogXwBUVIklYwEVm8R,,,user_process_execs,2021,10,14,23,c:\dir_a_c\dir_b_eb\dir_c_ba\executable_56,c:\dir_a_j\dir_b_j32\executable_171,name_650,name_441,name_441,name_640,executable_56,executable_171,tenant_c,"c:\windows\system32\cmd.exe /s /c """"chcp"" 437 & ""netsh"" advfirewall show currentprofile > ""c:\windows\system32\config\systemprofile\appdata\local\temp\opsddd5.tmp"" 2> ""c:\windows\system32\config\systemprofile\appdata\local\temp\opsddd6.tmp""""",
,,,,"{""int"": null, ""string"": """"}",60ba53ba2cf7602fac7467b672fa4193,zSESgXwBDac3IFZA9BPk,,,user_process_execs,2021,10,14,22,,,name_54,,,,,,tenant_c,,
,,,,"{""int"": 9328, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,8tgyfnwBWkqM6Gh_th6G,,,user_process_execs,2021,10,14,9,c:\dir_a_j\dir_b_bh64\executable_211,c:\dir_a_j\dir_b_a\dir_c_b\dir_d_j4.0.30319\executable_185,asdf_0x1317acde8918c_name_17,name_464,name_464,name_640,executable_211,executable_185,tenant_c,"c:\windows\microsoft.net\framework\v4.0.30319\ngen.exe install ""c:\program files (x86)\common files\microsoft shared\vsta\pipeline.v10.0\hostsideadapters\microsoft.visualstudio.tools.office.hostadapter.v10.0.dll"" /queue:3 /nodependencies",
,,,,"{""int"": 19760, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,mhsaeHwBB0gvw5rfcABs,39.0,,user_process_execs,2021,10,13,5,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_169,name_65,name_615,name_503,name_640,executable_163,executable_169,tenant_c,c:\windows\system32\runtimebroker.exe -embedding,
,,,,"{""int"": 7436, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,MzDffXwBACIhUi-kbZgV,,,user_process_execs,2021,10,14,8,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_fj\dir_c_bd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.1220_none_7e21bc567c7ed16b\executable_173,name_47,name_479,name_479,name_640,executable_163,executable_173,tenant_c,c:\windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.1220_none_7e21bc567c7ed16b\tiworker.exe -embedding,
,,,,"{""int"": 17860, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,yklEeXwBNBIFWOYHVJuk,,,user_process_execs,2021,10,13,10,c:\dir_a_j\dir_b_j32\executable_171,c:\dir_a_j\dir_b_j32\executable_197,name_27,name_492,name_492,name_640,executable_171,executable_197,tenant_c,attrib  -h c:\windows\system32\eventsentry\temp\\eventsentry_performance_trend_*.tmp,
,,,,"{""int"": 14304, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,9BXof3wBjd7GdOio-6vD,,,user_process_execs,2021,10,14,17,c:\dir_a_a86)\dir_b_c\dir_c_aj\executable_433,c:\dir_a_d\dir_b_c\dir_c_aj\dir_d_f\dir_e_a1.dir\executable_191,name_22,name_468,name_468,name_640,executable_433,executable_191,tenant_c,"""c:\programdata\sophos\autoupdate\cache\sophos_autoupdate1.dir\sophosupdate.exe"" -scheduledupdate -rootpath ""c:\program files (x86)\sophos\autoupdate\""",
,,,,"{""int"": 15000, ""string"": null}",d21ccb047b8d3d72c695101918096f9d,7WHGenwBXiyPKgRrfCZv,79.0,,user_process_execs,2021,10,13,17,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_170,name_5,name_495,name_448,name_640,executable_163,executable_170,tenant_c,,
,,,,"{""int"": 6312, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,utPReXwBjd7GdOioGlQt,,,user_process_execs,2021,10,13,13,c:\dir_a_a86)\dir_b_c\dir_c_c\dir_d_b\executable_353,c:\dir_a_a86)\dir_b_ff\executable_167,name_37,name_489,name_489,name_640,executable_353,executable_167,tenant_c,"""c:\program files (x86)\hitmanpro.alert\hmpalert.exe"" /verifypolicy=""c:\programdata\hitmanpro.alert\policy_20211013125848""",
,,,,"{""int"": 3392, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,JpwzfnwBLwEQS1RKrLCU,,,user_process_execs,2021,10,14,9,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_185,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_161,name_50,name_529,name_529,name_640,executable_185,executable_161,tenant_c,"c:\windows\microsoft.net\framework64\v4.0.30319\mscorsvw.exe -startupevent 3e4 -interruptevent 0 -ngenprocess 3c0 -pipe 3c8 -comment ""ngen worker process""",
,,,,"{""int"": 6664, ""string"": null}",32615bbe42c0ae71b1b9e63a0d7008e1,QgPDfHwBWkqM6Gh_IQxP,,,user_process_execs,2021,10,14,3,c:\dir_a_a86)\dir_b_e\dir_c_g12 agent\executable_350,c:\dir_a_a86)\dir_b_e\dir_c_g12 agent\executable_180,name_650,name_441,name_441,name_640,executable_350,executable_180,tenant_c,"""c:\program files (x86)\gfi\languard 12 agent\update.exe"" /suid:84028266-18a4-490f-9a58-8dd6a7ad7c7e  /wkl",
,,,,"{""int"": 2380, ""string"": null}",69a87026ca3a8397f576d2af4ce87c41,4DByfHwB0-fRXDnom75r,,,user_process_execs,2021,10,14,1,asdf_0x197ab829c_executable_7,c:\dir_a_j\dir_b_j32\dir_c_db\executable_172,name_95,name_585,name_585,name_640,asdf_0x197ab829c_executable_7,executable_172,tenant_c,c:\windows\system32\wbem\wmiapsrv.exe,
,,,,"{""int"": 24380, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,Hpiee3wBqhyjhem8k8w8,41.0,,user_process_execs,2021,10,13,21,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_281,asdf_0x1317acde8918c_name_17,name_464,name_476,name_640,executable_163,executable_281,tenant_c,"""ctfmon.exe""",
,,,,"{""int"": 5640, ""string"": null}",bbdb0d68baffacd92d7b12248a22d426,drXTfHwBRALE72vTOkLK,,,user_process_execs,2021,10,14,3,c:\dir_a_j\dir_b_a\dir_c_b\dir_d_j4.0.30319\executable_185,c:\dir_a_j\dir_b_a\dir_c_b\dir_d_j4.0.30319\executable_161,name_57,name_517,name_517,name_640,executable_185,executable_161,tenant_c,"c:\windows\microsoft.net\framework\v4.0.30319\mscorsvw.exe -startupevent 364 -interruptevent 0 -ngenprocess 35c -pipe 360 -comment ""ngen worker process""",
,,,,"{""int"": 5656, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,T2_ieXwBACIhUi-kEBBg,,,user_process_execs,2021,10,13,13,c:\dir_a_j\dir_b_j32\executable_171,c:\dir_a_j\dir_b_j32\executable_197,name_52,name_522,name_522,name_640,executable_171,executable_197,tenant_c,attrib  -h c:\windows\system32\eventsentry\temp\\eventsentry_performance_trend_*.tmp,
,,,,"{""int"": 9920, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,fP6EeXwBEhvPAxw3P-pl,,,user_process_execs,2021,10,13,11,c:\dir_a_a86)\dir_b_c\dir_c_c\dir_d_b\executable_353,c:\dir_a_a86)\dir_b_ff\executable_167,name_66,name_537,name_537,name_640,executable_353,executable_167,tenant_c,"""c:\program files (x86)\hitmanpro.alert\hmpalert.exe"" /status",
,,,,"{""int"": 17500, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,cExqgHwBD4PMs8-YyJc1,1239.0,,user_process_execs,2021,10,14,19,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_170,name_7,name_456,name_450,name_640,executable_163,executable_170,tenant_c,,
,,,,"{""int"": 3520, ""string"": null}",3b5e5336d6de576ada95872d964237f4,inHkf3wBEhvPAxw3arHA,90.0,,user_process_execs,2021,10,14,17,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_b\dir_b_abd\dir_c_i\dir_d_d\dir_e_j\dir_f_ag\21dir_g_aj104.0523.0001\executable_200,name_107,name_620,name_616,name_640,executable_163,executable_200,tenant_c,"""c:\users\muitterdyk\appdata\local\microsoft\onedrive\21.104.0523.0001\filecoauth.exe"" -embedding",
,,,,"{""int"": 15920, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,p8w1enwBRALE72vTnqLM,,,user_process_execs,2021,10,13,15,c:\dir_a_c\dir_b_h\dir_c_aa\dir_d_e\executable_205,c:\dir_a_c\dir_b_h\dir_c_aa\dir_d_e\executable_206,name_16,name_454,name_454,name_640,executable_205,executable_206,tenant_c,officesvcmgr.exe /checkin {013fc73b-2fe7-4613-ba82-8b069f80f30a},
,,,,"{""int"": 20428, ""string"": null}",c63f77b8be8d5904d076fbf8b5412e12,rvroeHwBUVIklYwEeZ4I,,,user_process_execs,2021,10,13,9,c:\dir_a_a86)\dir_b_c\dir_c_c\dir_d_b\executable_353,c:\dir_a_a86)\dir_b_ff\executable_167,name_41,name_538,name_538,name_640,executable_353,executable_167,tenant_c,"""c:\program files (x86)\hitmanpro.alert\hmpalert.exe"" /verifypolicy=""c:\programdata\hitmanpro.alert\policy_20211013085359""",
,,,,"{""int"": null, ""string"": """"}",899f87f46697643076b49459807ddbb7,RPfFenwBV1WtlBxD0-Ve,126.0,,user_process_execs,2021,10,13,17,,,name_105,,,,,,tenant_e,,
